label,pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
front_uniform_1mb_r32,uniform,1,32,16,18,16,8,8,159.046853,138.711998,150.217426,135.259772,282.864543,283.269092,283.830630,297.758851,94.997862,95.133727,95.322315,94.448538,97.511227,4.027445,0.998287
front_strided_1mb_r32,strided,1,32,16,29,16,8,8,142.537352,78.551273,139.526590,76.707063,214.988969,215.469031,216.021436,221.088625,97.241081,97.458217,97.708073,97.887738,97.652221,7.007733,0.998735
front_scatter_1mb_r32,scatter,1,32,16,18,16,8,8,50.180255,43.437506,29.985207,32.631103,56.325244,56.619808,57.054099,93.617762,60.165125,60.479771,60.943669,59.754991,75.121951,20.149321,0.999643
front_uniform_4mb_r32,uniform,4,32,4,4,4,8,8,155.608260,142.927132,155.097586,141.902007,282.664281,283.148489,283.519322,298.535392,94.683675,94.845870,94.970087,99.671821,99.282764,3.792151,0.997704
front_strided_4mb_r32,strided,4,32,4,7,4,8,8,139.063821,78.561939,137.261641,75.186949,205.891611,206.509954,207.024238,217.625760,94.608107,94.892238,95.128554,98.704063,95.704039,7.149268,0.998755
front_scatter_4mb_r32,scatter,4,32,4,4,5,8,8,26.268210,35.140168,12.749439,15.612731,28.034572,28.096795,28.158980,61.408377,45.652683,45.754010,45.855274,48.535623,44.429869,42.992788,0.999786
back_uniform_64mb_r1,uniform,64,1,8,8,8,8,8,25.274162,25.376192,19.316061,19.338526,38.600716,38.622219,38.644281,50.650353,76.210161,76.252614,76.296173,76.426120,76.207362,27.801143,0.999753
back_strided_64mb_r1,strided,64,1,8,8,8,8,8,13.152339,13.180206,6.581425,6.581654,13.146595,13.161425,13.167360,26.332545,49.925272,49.981592,50.004128,50.039955,49.935899,81.582488,0.999907
back_scatter_32mb_r1,scatter,32,1,16,16,16,8,8,9.844449,9.921805,4.496321,4.497211,8.933508,8.991603,9.157710,19.766254,45.195755,45.489664,46.330020,45.673663,45.326546,119.416066,0.999874
back_scatter_64mb_r1,scatter,64,1,8,8,8,8,8,9.702120,9.790797,0.865681,0.865690,1.390061,1.731320,2.420082,19.492917,7.131107,8.881790,12.415189,8.922600,8.841870,620.186826,0.999953
back_scatter_128mb_r1,scatter,128,1,4,4,5,8,8,1.582940,2.168053,0.832447,0.955023,1.221295,1.719004,1.719824,3.750994,32.559235,45.827954,45.849833,52.588645,44.049780,702.709103,0.999984
