label,pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio,mc_avg_activity_p50,mc_avg_activity_p95,mc_last_activity_p50
front_uniform_1mb_r32,uniform,1,32,16,18,16,8,8,159.046853,138.711998,150.217426,135.259772,282.864543,283.269092,283.83063,297.758851,94.997862,95.133727,95.322315,94.448538,97.511227,4.027445,0.998287,763174.0,2992704.0,3163008.0
front_strided_1mb_r32,strided,1,32,16,29,16,8,8,142.537352,78.551273,139.52659,76.707063,214.988969,215.469031,216.021436,221.088625,97.241081,97.458217,97.708073,97.887738,97.652221,7.007733,0.998735,5223836.0,9214388.0,10782208.0
front_scatter_1mb_r32,scatter,1,32,16,18,16,8,8,50.180255,43.437506,29.985207,32.631103,56.325244,56.619808,57.054099,93.617762,60.165125,60.479771,60.943669,59.754991,75.121951,20.149321,0.999643,15485825.0,16629253.0,16663552.0
front_uniform_4mb_r32,uniform,4,32,4,4,4,8,8,155.60826,142.927132,155.097586,141.902007,282.664281,283.148489,283.519322,298.535392,94.683675,94.84587,94.970087,99.671821,99.282764,3.792151,0.997704,11166471.0,15130920.0,4676224.0
front_strided_4mb_r32,strided,4,32,4,7,4,8,8,139.063821,78.561939,137.261641,75.186949,205.891611,206.509954,207.024238,217.62576,94.608107,94.892238,95.128554,98.704063,95.704039,7.149268,0.998755,10901968.0,17467610.0,15951104.0
front_scatter_4mb_r32,scatter,4,32,4,4,5,8,8,26.26821,35.140168,12.749439,15.612731,28.034572,28.096795,28.15898,61.408377,45.652683,45.75401,45.855274,48.535623,44.429869,42.992788,0.999786,16513382.0,18112917.0,16297216.0
back_uniform_64mb_r1,uniform,64,1,8,8,8,8,8,25.274162,25.376192,19.316061,19.338526,38.600716,38.622219,38.644281,50.650353,76.210161,76.252614,76.296173,76.42612,76.207362,27.801143,0.999753,23259630.0,35027508.0,23934208.0
back_strided_64mb_r1,strided,64,1,8,8,8,8,8,13.152339,13.180206,6.581425,6.581654,13.146595,13.161425,13.16736,26.332545,49.925272,49.981592,50.004128,50.039955,49.935899,81.582488,0.999907,57728051.0,57905494.0,57818496.0
back_scatter_32mb_r1,scatter,32,1,16,16,16,8,8,9.844449,9.921805,4.496321,4.497211,8.933508,8.991603,9.15771,19.766254,45.195755,45.489664,46.33002,45.673663,45.326546,119.416066,0.999874,30164302.0,38369980.0,29510784.0
back_scatter_64mb_r1,scatter,64,1,8,8,8,8,8,9.70212,9.790797,0.865681,0.86569,1.390061,1.73132,2.420082,19.492917,7.131107,8.88179,12.415189,8.9226,8.84187,620.186826,0.999953,18456654.0,30630007.0,21968640.0
back_scatter_128mb_r1,scatter,128,1,4,4,5,8,8,1.58294,2.168053,0.832447,0.955023,1.221295,1.719004,1.719824,3.750994,32.559235,45.827954,45.849833,52.588645,44.04978,702.709103,0.999984,7521623.0,19547116.0,7314048.0
