pattern,size_mb,reuse,efficiency_pct,overlap,aggregate_gbps,dev_solo_gbps,zc_solo_gbps
uniform,1,1,79.543959,0.999043,45.44002,33.078107,24.047564
uniform,1,2,71.505246,0.99931,72.496525,65.243931,36.142371
uniform,1,4,82.945004,0.999356,130.825046,97.029731,60.695315
uniform,1,8,93.887679,0.998786,208.341346,128.41246,93.492424
uniform,1,16,91.612743,0.998662,244.533353,148.376397,118.54428
uniform,1,32,96.613815,0.99785,287.893537,159.271821,138.711998
uniform,2,1,84.24875,0.99936,40.208207,23.483293,24.24229
uniform,2,2,87.280493,0.999487,67.887216,40.929622,36.850891
uniform,2,4,91.627579,0.999073,120.121951,68.615385,62.482645
uniform,2,8,95.16882,0.998549,189.430801,103.515777,95.531349
uniform,2,16,96.951997,0.998103,251.825241,138.444152,121.298037
uniform,2,32,97.714552,0.998334,288.196078,153.548919,141.387784
uniform,4,1,86.513965,0.999662,42.354287,24.458224,24.498366
uniform,4,2,90.001055,0.999464,71.384265,41.973051,37.341869
uniform,4,4,94.07699,0.999045,125.934414,70.491911,63.37123
uniform,4,8,96.255046,0.998861,195.08811,105.993047,96.685273
uniform,4,16,98.364837,0.998032,257.208284,138.668434,122.815539
uniform,4,32,94.749054,0.997655,282.78488,155.618368,142.83831
uniform,8,1,86.744551,0.999665,43.198439,24.759763,25.039836
uniform,8,2,90.249689,0.999464,72.657633,42.671659,37.835692
uniform,8,4,94.636456,0.999023,128.463283,71.618236,64.125735
uniform,8,8,96.414262,0.998837,197.572517,107.163632,97.756795
uniform,8,16,94.798787,0.998641,249.711221,139.834603,123.57723
uniform,8,32,94.901344,0.997729,285.212512,156.729031,143.806765
uniform,16,1,87.29682,0.999736,43.913278,25.097333,25.206077
uniform,16,2,90.374141,0.999457,73.535982,43.219973,38.148416
uniform,16,4,94.563463,0.999007,129.036561,72.072341,64.382647
uniform,16,8,92.611801,0.998469,190.771379,107.910102,98.080253
uniform,16,16,93.067778,0.998065,246.294899,140.550363,124.089994
uniform,16,32,95.019493,0.997846,286.510547,157.280013,144.248164
uniform,32,1,87.654943,0.999736,44.131301,25.103755,25.242864
