pattern,size_mb,reuse,efficiency_pct,overlap,aggregate_gbps,dev_solo_gbps,zc_solo_gbps
uniform,1,1,69.92,0.9983,46.7,42.9,24.0
uniform,1,2,74.32,0.9986,75.6,65.5,36.2
uniform,1,4,90.45,0.9982,129.8,82.6,60.9
uniform,1,8,86.25,0.9980,191.2,128.3,93.4
uniform,1,16,94.66,0.9972,252.3,148.2,118.3
uniform,1,32,97.24,0.9956,286.6,156.3,138.4
uniform,2,1,84.68,0.9987,41.2,24.0,24.7
uniform,2,2,89.49,0.9989,69.7,41.1,36.7
uniform,2,4,88.91,0.9986,120.8,73.5,62.4
uniform,2,8,92.50,0.9978,189.8,109.6,95.5
uniform,2,16,97.08,0.9962,251.3,137.7,121.2
uniform,2,32,94.06,0.9955,277.9,154.2,141.3
uniform,4,1,86.92,0.9993,42.8,24.5,24.8
uniform,4,2,90.36,0.9989,72.1,42.3,37.5
uniform,4,4,94.80,0.9980,126.5,70.1,63.3
uniform,4,8,96.28,0.9977,195.4,106.0,96.9
uniform,4,16,94.45,0.9973,246.7,138.5,122.7
uniform,4,32,94.66,0.9955,282.4,155.5,142.8
uniform,8,1,87.60,0.9993,43.8,25.0,25.0
uniform,8,2,91.05,0.9988,73.6,42.9,37.9
uniform,8,4,95.09,0.9980,129.0,71.6,64.1
uniform,8,8,92.51,0.9969,189.6,107.4,97.5
uniform,8,16,92.83,0.9961,244.4,139.8,123.5
uniform,8,32,94.84,0.9957,284.8,156.6,143.7
uniform,16,1,87.51,0.9994,44.2,25.2,25.3
uniform,16,2,90.88,0.9988,74.0,43.3,38.2
uniform,16,4,89.82,0.9980,122.7,72.2,64.4
uniform,16,8,92.72,0.9970,191.0,107.9,98.1
uniform,16,16,92.91,0.9962,245.7,140.5,124.0
uniform,16,32,95.08,0.9978,286.7,157.3,144.3
uniform,32,1,88.13,0.9994,44.5,25.2,25.3
uniform,32,2,89.59,0.9992,73.1,43.4,38.2
uniform,32,4,90.13,0.9980,123.3,72.3,64.5
uniform,32,8,92.85,0.9971,191.7,108.2,98.2
uniform,32,16,93.19,0.9981,247.0,140.8,124.2
uniform,32,32,95.20,0.9989,287.6,157.6,144.5
uniform,64,1,76.64,0.9995,38.8,25.2,25.4
uniform,64,2,77.37,0.9990,63.2,43.4,38.2
uniform,64,4,82.44,0.9982,112.9,72.4,64.6
uniform,64,8,89.67,0.9985,185.3,108.4,98.3
uniform,64,16,91.81,0.9991,243.7,141.0,124.4
uniform,64,32,94.34,0.9995,285.3,157.7,144.6
strided,1,1,61.99,0.9992,32.1,38.7,13.0
strided,1,2,75.14,0.9992,54.8,51.4,21.5
strided,1,4,83.34,0.9991,103.6,84.6,39.7
strided,1,8,91.48,0.9986,159.1,112.7,61.3
strided,1,16,94.16,0.9983,194.2,132.3,73.9
strided,1,32,96.40,0.9982,215.8,145.0,78.9
strided,2,1,54.76,0.9996,24.0,30.9,12.8
strided,2,2,59.62,0.9997,40.7,47.8,20.5
strided,2,4,74.86,0.9992,86.5,75.8,39.8
strided,2,8,91.88,0.9982,149.0,103.3,58.9
strided,2,16,95.21,0.9978,190.2,127.6,72.2
strided,2,32,94.99,0.9975,208.9,142.7,77.2
strided,4,1,49.82,0.9998,13.6,14.4,13.0
strided,4,2,50.06,0.9997,24.5,28.0,21.0
strided,4,4,57.52,0.9992,56.1,57.8,39.8
strided,4,8,66.84,0.9986,99.8,87.9,61.4
strided,4,16,89.89,0.9979,173.4,119.8,73.2
