pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,1,1,64,115,64,8,8,42.873394,23.954037,30.070060,19.113148,46.194693,46.724368,46.930358,66.827431,69.125346,69.917948,70.226189,70.136879,79.790928,4.017071,0.998274
uniform,1,2,64,116,64,8,8,65.453163,36.228689,48.768474,30.946507,75.409109,75.570458,75.736634,101.681852,74.161818,74.320498,74.483925,74.508965,85.419892,4.995171,0.998630
uniform,1,4,64,87,64,8,8,82.630914,60.868173,78.294927,55.112070,129.527834,129.797955,130.062382,143.499087,90.263873,90.452112,90.636383,94.752585,90.543328,4.879429,0.998194
uniform,1,8,32,44,32,8,8,128.289714,93.359239,110.911341,87.329483,190.725497,191.181247,191.805200,221.648952,86.048454,86.254072,86.535577,86.453807,93.541341,3.334711,0.997954
uniform,1,16,16,20,16,8,8,148.221712,118.269344,140.535300,114.910868,251.378178,252.259985,252.780275,266.491056,94.328936,94.659832,94.855069,94.814247,97.160316,2.394275,0.997244
uniform,1,32,8,9,8,8,8,156.343458,138.366509,152.851173,135.448683,285.801426,286.573322,287.171191,294.709967,96.977184,97.239101,97.441968,97.766274,97.891234,1.990504,0.995621
uniform,2,1,64,64,66,8,8,23.997070,24.679489,20.899938,20.953741,41.070284,41.217517,41.315555,48.676559,84.373844,84.676315,84.877724,87.093709,84.903466,6.614415,0.998660
uniform,2,2,64,72,64,8,8,41.142004,36.741701,38.057305,32.835080,69.538320,69.696004,69.788652,77.883706,89.284812,89.487273,89.606230,92.502312,89.367336,8.184477,0.998912
uniform,2,4,32,38,32,8,8,73.504329,62.363735,65.666472,57.440878,120.614198,120.798816,120.988351,135.868064,88.773031,88.908911,89.048410,89.336877,92.106218,4.860996,0.998611
uniform,2,8,16,18,16,8,8,109.636376,95.501983,100.678330,90.916667,189.210828,189.751463,190.199903,205.138359,92.235713,92.499259,92.717863,91.829313,95.198721,3.006171,0.997804
uniform,2,16,8,9,8,8,8,137.730403,121.159623,134.350524,118.719602,250.789773,251.343063,252.027260,258.890026,96.871161,97.084877,97.349158,97.546018,97.986111,2.269509,0.996156
uniform,2,32,4,4,4,8,8,154.151343,141.310378,152.484101,139.603056,277.264611,277.900756,278.431134,295.461722,93.841127,94.056433,94.235941,98.918438,98.791793,1.931880,0.995520
uniform,4,1,64,64,65,8,8,24.502659,24.782000,21.438723,21.601020,42.738581,42.839936,42.896180,49.284659,86.717818,86.923470,87.037591,87.495498,87.164152,12.629926,0.999307
uniform,4,2,32,36,32,8,8,42.290243,37.469384,39.238707,33.951805,71.852873,72.067962,72.166131,79.759627,90.086771,90.356443,90.479524,92.784303,90.612125,7.915103,0.998901
uniform,4,4,16,18,16,8,8,70.138864,63.348973,67.286857,59.670148,126.294824,126.548558,126.722185,133.487837,94.611485,94.801564,94.931634,95.933770,94.192762,4.507561,0.998007
uniform,4,8,8,9,8,8,8,106.049324,96.853838,103.664309,93.382104,195.002025,195.359977,195.647267,202.903162,96.105957,96.282372,96.423962,97.751032,96.415492,2.919868,0.997712
uniform,4,16,4,5,4,8,8,138.487576,122.679924,137.417240,121.121147,246.290493,246.675195,247.018992,261.167500,94.303653,94.450954,94.582593,99.227125,98.729395,2.448482,0.997298
uniform,4,32,2,2,2,8,8,155.537579,142.767807,154.822781,141.824038,281.911838,282.386329,283.077242,298.305386,94.504441,94.663503,94.895116,99.540434,99.338948,1.901193,0.995490
uniform,8,1,32,32,32,8,8,25.014039,25.017770,21.983474,21.930371,43.736929,43.829539,43.949002,50.031809,87.418245,87.603346,87.842121,87.884545,87.659178,12.249066,0.999320
uniform,8,2,16,18,16,8,8,42.941869,37.913071,39.892732,34.683305,73.459498,73.621348,73.729138,80.854940,90.853444,91.053618,91.186931,92.899384,91.481128,7.748097,0.998840
uniform,8,4,8,9,8,8,8,71.561718,64.081157,68.803196,60.816101,128.828573,128.976779,129.135604,135.642875,94.976292,95.085554,95.202644,96.145255,94.904811,4.422698,0.998017
uniform,8,8,4,4,4,8,8,107.441573,97.475085,104.816983,95.070134,188.945579,189.562486,189.814486,204.916658,92.206061,92.507114,92.630091,97.557193,97.532753,2.832158,0.996903
uniform,8,16,2,2,2,8,8,139.777523,123.530832,138.679895,122.690699,243.992529,244.419193,244.915199,263.308355,92.664180,92.826220,93.014595,99.214732,99.319900,2.196517,0.996054
uniform,8,32,1,1,1,8,8,156.591529,143.719295,156.055507,143.064859,284.310053,284.816839,285.296328,300.310825,94.671930,94.840684,95.000348,99.657694,99.544642,1.884969,0.995729
uniform,16,1,16,16,16,8,8,25.205244,25.284408,22.105068,22.112992,44.065762,44.185874,44.222151,50.489652,87.276818,87.514712,87.586564,87.700275,87.457032,12.150284,0.999414
uniform,16,2,8,9,8,8,8,43.290010,38.163863,40.142003,34.875372,73.949813,74.022438,74.087198,81.453873,90.787351,90.876511,90.956017,92.728099,91.383233,7.706114,0.998849
uniform,16,4,4,4,4,8,8,72.156965,64.408849,69.325047,61.456801,122.304453,122.662604,122.827827,136.565814,89.557152,89.819407,89.940391,96.075336,95.416705,4.376810,0.998022
uniform,16,8,2,2,2,8,8,107.905945,98.106636,105.556913,95.807391,190.785822,191.021575,191.203286,206.012580,92.608821,92.723257,92.811461,97.823075,97.656382,2.810525,0.996982
uniform,16,16,1,1,1,8,8,140.484458,124.009287,139.449887,123.332863,245.169263,245.729329,246.210871,264.493745,92.693785,92.905535,93.087597,99.263569,99.454538,2.184806,0.996227
uniform,16,32,1,1,1,8,8,157.266744,144.281659,156.897587,143.666379,286.311418,286.710146,286.908796,301.548403,94.947085,95.079312,95.145188,99.765267,99.573556,3.745043,0.997832
