pattern,size_mb,reuse,efficiency_pct,overlap,aggregate_gbps,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,co_wall_ms
scatter,1,64,66.623997,0.999579,67.103389,53.211003,47.508546,35.539794,39.903285,17.001387
scatter,4,64,46.25248,0.999797,30.508121,27.514593,38.445376,13.410411,18.308462,43.994098
scatter,16,64,42.273032,0.999911,26.651933,25.433299,37.613828,13.327463,14.425834,80.575157
scatter,64,64,12.723058,0.99999,8.487793,26.504789,40.20711,3.034753,5.658579,1518.050835
scatter,1,128,75.198231,0.999446,85.941547,56.903941,57.382719,42.992708,51.870384,12.493862
scatter,4,128,48.221422,0.999813,34.972798,28.777583,43.747856,14.034802,23.319551,46.053299
scatter,16,128,44.988267,0.999955,31.670373,26.535793,43.86117,12.860889,21.114505,203.422008
scatter,64,128,11.694354,0.999996,8.947783,27.707734,48.805968,3.166885,5.965219,2880.020952
scatter,1,256,83.161619,0.999269,109.668054,61.491494,70.381906,54.873947,66.00889,9.790835
scatter,4,256,67.812958,0.999875,59.474703,30.770559,56.933482,19.82731,44.314329,54.16127
scatter,16,256,60.723327,0.999973,51.169019,28.086844,56.178991,17.056736,38.311772,251.810609
scatter,64,256,9.833395,1.000002,9.603013,29.598069,68.059079,3.346409,6.401994,5367.024858
scatter,1,512,92.397207,0.998895,131.009198,73.109709,68.679424,67.1634,65.573395,8.195927
scatter,4,512,91.465585,0.999897,92.988369,34.694368,66.970502,30.998942,62.444367,69.282331
scatter,16,512,87.852052,0.999982,86.616,31.352525,67.240506,28.872477,64.718808,297.517822
scatter,64,512,75.249543,0.999989,77.780979,33.949397,69.414657,25.927244,57.493047,1325.249656
