pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
uniform,1,1,8,8,30.481859,22.882682,26.489895,20.844784,47.334679,53.364542,88.700620,86.903803,91.094146
uniform,1,32,8,8,157.090041,137.140465,153.953312,134.295085,288.248397,294.230507,97.966863,98.003229,97.925207
uniform,4,1,8,8,24.174106,24.263605,21.236552,21.664794,42.901346,48.437712,88.570133,87.848345,89.289259
uniform,4,32,8,8,155.212371,142.721658,154.805645,140.018710,294.824354,297.934029,98.956254,99.737955,98.106140
uniform,16,1,8,8,24.883152,25.080749,21.763720,21.939491,43.703210,49.963901,87.469573,87.463679,87.475420
uniform,16,32,8,8,157.257892,144.284146,156.972453,141.236130,298.208582,301.542038,98.894530,99.818490,97.887491
uniform,64,1,8,8,25.051688,25.052288,19.300129,20.414411,39.714540,50.103975,79.264249,77.041234,81.487212
uniform,64,32,8,8,157.728782,144.624934,156.986406,140.765719,297.752125,302.353716,98.478077,99.529334,97.331570
strided,1,1,8,8,35.234409,12.435673,17.626681,11.615739,29.242420,47.670083,61.343339,50.026896,93.406593
strided,1,32,8,8,143.581543,79.570191,137.104602,70.807206,207.911808,223.151734,93.170599,95.489016,88.987100
strided,4,1,8,8,16.425062,12.817524,7.167104,7.224782,14.391887,29.242586,49.215506,43.635173,56.366444
strided,4,32,8,8,136.653438,78.003087,133.597836,65.793692,199.391528,214.656525,92.888641,97.763977,84.347549
strided,16,1,8,8,13.032588,13.003174,6.595315,6.632443,13.227759,26.035762,50.806112,50.606336,51.006341
strided,16,32,8,8,138.630615,78.388315,136.792711,66.743877,203.536588,217.018930,93.787481,98.674244,85.145187
strided,64,1,8,8,13.057418,13.080630,6.517570,6.523389,13.040959,26.138048,49.892627,49.914692,49.870601
strided,64,32,8,8,139.264970,78.412587,137.137383,66.338392,203.475776,217.677557,93.475771,98.472274,84.601714
scatter,1,1,8,8,12.328066,11.389642,6.310033,6.502878,12.812910,23.717708,54.022547,51.184284,57.094663
scatter,1,32,8,8,51.140071,42.238712,29.177362,31.198476,60.375839,93.378783,64.656913,57.053816,73.862281
scatter,4,1,8,8,10.160620,10.005496,5.055425,5.107829,10.163254,20.166116,50.397678,49.755084,51.050234
scatter,4,32,8,8,26.347951,33.707057,12.772443,15.954778,28.727220,60.055008,47.834845,48.476037,47.333642
scatter,16,1,8,8,10.066588,10.061951,5.137963,5.155545,10.293508,20.128538,51.138875,51.039768,51.238027
scatter,16,32,8,8,24.378579,32.357403,11.787671,14.696632,26.484303,56.735982,46.679906,48.352578,45.419689
scatter,64,1,8,8,9.827882,9.924340,1.578058,1.578544,3.156601,19.752222,15.980993,16.056947,15.905778
scatter,64,32,8,8,25.435064,34.859085,3.870100,5.153864,9.023964,60.294149,14.966567,15.215608,14.784853
