requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
14,2,uniform,1,1,14,2,55.633276,6.495144,38.102327,6.423839,44.526165,62.128420,71.667950,68.488375,98.902177
14,2,uniform,1,2,14,2,87.732264,9.698979,57.893993,6.385035,64.279028,97.431243,65.973733,65.989398,65.832035
14,2,uniform,1,4,14,2,136.961336,16.819197,120.029299,6.401250,126.430549,153.780533,82.214924,87.637360,38.059190
14,2,uniform,1,8,14,2,192.894777,24.810146,171.785061,6.455477,178.240538,217.704923,81.872534,89.056357,26.019503
14,2,uniform,1,16,14,2,228.249018,32.001954,223.767827,9.707599,233.475426,260.250971,89.711644,98.036710,30.334395
14,2,uniform,1,32,14,2,254.200244,35.835275,250.316543,19.375591,269.692134,290.035519,92.985899,98.472189,54.068487
14,2,uniform,2,1,14,2,34.133334,6.623812,33.764039,6.445319,40.209358,40.757146,98.655969,98.918081,97.305274
14,2,uniform,2,2,14,2,60.235293,9.937979,60.765882,6.410016,67.175897,70.173272,95.728610,100.880860,64.500198
14,2,uniform,2,4,14,2,106.997550,16.806257,104.690097,6.408135,111.098232,123.803807,89.737331,97.843453,38.129460
14,2,uniform,2,8,14,2,164.405139,25.323030,161.567949,6.394380,167.962329,189.728169,88.527882,98.274269,25.251243
14,2,uniform,2,16,14,2,225.451741,32.483765,224.054711,9.755284,233.809996,257.935506,90.646689,99.380342,30.031261
14,2,uniform,2,32,14,2,259.291787,36.076312,258.556526,16.548450,275.104977,295.368098,93.139706,99.716435,45.870683
14,2,uniform,4,1,14,2,37.278726,6.667955,36.398779,6.469496,42.868275,43.946681,97.546104,97.639546,97.023694
14,2,uniform,4,2,14,2,66.181265,9.945896,64.967530,6.447538,71.415068,76.127162,93.810234,98.166045,64.826111
14,2,uniform,4,4,14,2,113.654456,16.806257,112.556460,6.380994,118.937454,130.460713,91.167258,99.033918,37.967968
14,2,uniform,4,8,14,2,174.153131,25.441612,173.318348,6.440568,179.758916,199.594743,90.061949,99.520661,25.315094
14,2,uniform,4,16,14,2,235.608583,32.433026,233.665958,9.799043,243.465001,268.041609,90.831047,99.175486,30.213163
14,2,uniform,4,32,14,2,267.221198,36.181498,267.715822,16.817038,284.532861,303.402696,93.780597,100.185099,46.479663
14,2,uniform,8,1,14,2,38.675716,6.697256,37.953379,6.475090,44.428469,45.372972,97.918359,98.132325,96.682729
14,2,uniform,8,2,14,2,68.813230,9.955718,67.319978,6.479090,73.799068,78.768947,93.690561,97.829993,65.079088
14,2,uniform,8,4,14,2,118.940108,16.973841,117.146241,6.471253,123.617495,135.913949,90.952765,98.491790,38.124861
14,2,uniform,8,8,14,2,180.431217,25.423722,179.197806,6.488873,185.686680,205.854939,90.202684,99.316409,25.522909
14,2,uniform,8,16,14,2,240.292403,32.688833,239.073423,9.871552,248.944974,272.981236,91.194903,99.492709,30.198544
14,2,uniform,8,32,14,2,272.065901,36.421376,271.475990,16.801410,288.277400,308.487277,93.448716,99.783174,46.130629
14,2,uniform,16,1,14,2,39.730828,6.731911,38.581793,6.491846,45.073639,46.462739,97.010293,97.107952,96.433923
14,2,uniform,16,2,14,2,70.644478,10.050088,68.732041,6.500701,75.232742,80.694567,93.231483,97.292871,64.683018
14,2,uniform,16,4,14,2,121.166625,17.028281,118.825539,6.485903,125.311442,138.194906,90.677324,98.067879,38.089009
14,2,uniform,16,8,14,2,183.590298,25.467564,181.202920,6.509094,187.712015,209.057862,89.789503,98.699617,25.558370
14,2,uniform,16,16,14,2,243.699037,32.823003,242.613613,9.883183,252.496796,276.522040,91.311635,99.554605,30.110537
14,2,uniform,16,32,14,2,274.177836,36.551907,273.717099,16.796431,290.513530,310.729743,93.493956,99.831957,45.952270
14,2,uniform,32,1,14,2,40.090842,6.728974,38.818896,6.483658,45.302553,46.819816,96.759357,96.827339,96.354326
14,2,uniform,32,2,14,2,71.087488,10.007597,69.453619,6.498364,75.951983,81.095085,93.657937,97.701609,64.934310
14,2,uniform,32,4,14,2,121.510633,17.059032,120.036170,6.503805,126.539975,138.569665,91.318670,98.786557,38.125288
14,2,uniform,32,8,14,2,185.322168,25.530967,182.567429,6.517833,189.085262,210.853135,89.676287,98.513540,25.529128
14,2,uniform,32,16,14,2,245.040915,32.855592,243.776944,9.867836,253.644781,277.896507,91.273108,99.484180,30.033962
14,2,uniform,32,32,14,2,275.309389,36.613488,274.892118,16.835940,291.728058,311.922877,93.525701,99.848436,45.982890
14,2,uniform,64,1,14,2,40.257073,6.734441,33.170187,5.911117,39.081304,46.991514,83.166728,82.395924,87.774429
14,2,uniform,64,2,14,2,71.729383,10.017061,61.439698,5.917272,67.356969,81.746445,82.397430,85.654853,59.071931
14,2,uniform,64,4,14,2,122.249060,17.034263,109.682248,5.933746,115.615994,139.283323,83.007780,89.720320,34.834181
14,2,uniform,64,8,14,2,185.734550,25.492137,176.026018,5.951697,181.977716,211.226688,86.152805,94.772899,23.347188
14,2,uniform,64,16,14,2,245.631078,32.910022,238.441426,9.398832,247.840258,278.541100,88.977985,97.072988,28.559178
14,2,uniform,64,32,14,2,275.807224,36.414045,274.247309,16.124156,290.371465,312.221269,93.001821,99.434418,44.280047
14,2,strided,1,1,14,2,43.343916,5.606159,34.822529,5.418885,40.241414,48.950075,82.209097,80.340063,96.659498
14,2,strided,1,2,14,2,75.939746,7.649819,57.690139,5.377092,63.067231,83.589565,75.448690,75.968307,70.290450
14,2,strided,1,4,14,2,115.787985,13.686124,112.027356,5.445903,117.473259,129.474109,90.731081,96.752142,39.791423
14,2,strided,1,8,14,2,170.889174,19.995729,159.843899,5.409939,165.253838,190.884903,86.572503,93.536586,27.055473
14,2,strided,1,16,14,2,209.967167,25.114390,201.339475,7.632002,208.971477,235.081557,88.893182,95.890933,30.388960
14,2,strided,1,32,14,2,239.564997,25.796498,228.597352,11.054088,239.651439,265.361495,90.311309,95.421850,42.851117
14,2,strided,2,1,14,2,41.217610,5.641388,31.163101,5.422472,36.585573,46.858998,78.075877,75.606279,96.119477
14,2,strided,2,2,14,2,70.506726,7.842517,59.987182,5.462244,65.449426,78.349243,83.535493,85.080085,69.649114
14,2,strided,2,4,14,2,118.349430,14.040169,100.169664,5.491077,105.660740,132.389599,79.810454,84.638907,39.109761
14,2,strided,2,8,14,2,168.148814,19.922027,157.207795,5.461789,162.669584,188.070841,86.493782,93.493253,27.415827
