pattern,mb_per_half,total_mb,reuse,chunks,total_bytes,case1_dev2mb_ms,case2_dev1_dev1_ms,case3_dev1_zc1_ms,case1_gbps,case2_gbps,case3_gbps,speedup_case3_vs_case2,speedup_case3_vs_case1
uniform,1,2,1,5,10485760,0.2750,0.3019,0.2641,38.130,34.728,39.711,1.1435,1.0414
uniform,1,2,2,5,20971520,0.3064,0.3313,0.3202,68.440,63.297,65.486,1.0346,0.9568
uniform,1,2,4,5,41943040,0.3621,0.3833,0.3761,115.833,109.431,111.507,1.0190,0.9627
uniform,1,2,8,5,83886080,0.4610,0.4877,0.4826,181.950,172.016,173.830,1.0105,0.9554
uniform,2,4,1,5,20971520,0.5065,0.5411,0.5388,41.404,38.759,38.923,1.0042,0.9401
uniform,2,4,2,5,41943040,0.5705,0.6007,0.6368,73.523,69.818,65.864,0.9434,0.8958
uniform,2,4,4,5,83886080,0.6715,0.7154,0.7366,124.924,117.258,113.890,0.9713,0.9117
uniform,2,4,8,5,167772160,0.8779,0.9140,0.9462,191.115,183.561,177.304,0.9659,0.9277
uniform,4,8,1,5,41943040,0.9729,1.0015,0.9978,43.113,41.879,42.036,1.0038,0.9750
uniform,4,8,2,5,83886080,1.0937,1.1262,1.2033,76.700,74.488,69.714,0.9359,0.9089
uniform,4,8,4,5,167772160,1.2847,1.3136,1.3809,130.593,127.721,121.491,0.9512,0.9303
uniform,4,8,8,5,335544320,1.6875,1.7369,1.8086,198.846,193.189,185.526,0.9603,0.9330
scatter,1,2,8,5,83886080,5.0080,3.7048,2.7470,16.750,22.643,30.537,1.3487,1.8231
scatter,1,2,16,5,167772160,7.6881,5.7682,4.2937,21.822,29.086,39.074,1.3434,1.7905
scatter,1,2,32,5,335544320,10.7535,8.2320,6.5078,31.203,40.761,51.560,1.2649,1.6524
scatter,2,4,8,5,167772160,10.7320,9.9554,7.9828,15.633,16.852,21.017,1.2471,1.3444
scatter,2,4,16,5,335544320,16.1124,15.1215,12.4587,20.825,22.190,26.933,1.2137,1.2933
scatter,2,4,32,5,671088640,26.2697,22.0426,18.4296,25.546,30.445,36.414,1.1960,1.4254
scatter,4,8,8,5,335544320,20.8766,21.3982,17.6771,16.073,15.681,18.982,1.2105,1.1810
scatter,4,8,16,5,671088640,30.1932,32.1882,27.9329,22.227,20.849,24.025,1.1523,1.0809
scatter,4,8,32,5,1342177280,54.8822,53.3721,47.3561,24.456,25.148,28.342,1.1270,1.1589
strided,1,2,8,5,83886080,0.4678,0.5078,0.7345,179.311,165.208,114.208,0.6913,0.6369
strided,1,2,16,5,167772160,0.7432,0.7794,1.0805,225.731,215.259,155.276,0.7213,0.6879
strided,1,2,32,5,335544320,1.3056,1.3662,1.8590,257.012,245.605,180.496,0.7349,0.7023
strided,2,4,8,5,167772160,1.3782,1.0101,1.4868,121.736,166.093,112.841,0.6794,0.9269
strided,2,4,16,5,335544320,1.6198,1.5290,2.1618,207.153,219.448,155.214,0.7073,0.7493
strided,2,4,32,5,671088640,2.6415,2.6426,3.6690,254.052,253.953,182.909,0.7202,0.7200
strided,4,8,8,5,335544320,3.2450,2.5772,3.2642,103.403,130.198,102.794,0.7895,0.9941
strided,4,8,16,5,671088640,3.4250,3.2429,4.3473,195.938,206.943,154.370,0.7460,0.7879
strided,4,8,32,5,1342177280,5.2707,5.3122,7.2425,254.647,252.661,185.319,0.7335,0.7277
