pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,1,1,128,176,128,8,8,33.078107,24.047564,26.332417,19.329035,45.259990,45.440020,45.588285,57.125671,79.228811,79.543959,79.803501,79.606782,80.378351,7.015118,0.999043
uniform,1,2,128,231,128,8,8,65.243931,36.142371,46.679215,30.780270,72.276938,72.496525,72.737690,101.386302,71.288662,71.505246,71.743114,71.545681,85.163947,10.385016,0.999310
uniform,1,4,128,205,128,8,8,97.029731,60.695315,80.590018,54.485810,130.644915,130.825046,131.074128,157.725045,82.830799,82.945004,83.102926,83.057036,89.769385,10.676115,0.999356
uniform,1,8,64,88,64,8,8,128.412460,93.492424,120.820135,87.894048,207.960770,208.341346,208.606361,221.904885,93.716175,93.887679,94.007107,94.087548,94.011947,6.120093,0.998786
uniform,1,16,32,40,32,8,8,148.376397,118.544280,136.036476,114.510865,244.284907,244.533353,244.880707,266.920677,91.519664,91.612743,91.742877,91.683367,96.597545,4.939856,0.998662
uniform,1,32,16,18,16,8,8,159.271821,138.711998,152.870977,135.786328,287.517412,287.893537,288.191419,297.983819,96.487592,96.613815,96.713781,95.981182,97.890831,3.962752,0.997850
uniform,2,1,128,128,132,8,8,23.483293,24.242290,20.320748,20.426275,40.121204,40.208207,40.319713,47.725583,84.066451,84.248750,84.482388,86.532788,84.258849,13.560901,0.999360
uniform,2,2,128,142,128,8,8,40.929622,36.850891,37.341626,32.200158,67.810468,67.887216,67.956955,77.780514,87.181821,87.280493,87.370154,91.233743,87.379590,16.681522,0.999487
uniform,2,4,64,70,64,8,8,68.615385,62.482645,64.942012,57.424360,119.918157,120.121951,120.259717,131.098031,91.472127,91.627579,91.732665,94.646429,91.904496,9.357769,0.999073
uniform,2,8,32,35,32,8,8,103.515777,95.531349,100.360858,90.608803,189.116720,189.430801,189.665024,199.047126,95.011027,95.168820,95.286492,96.952234,94.847192,5.933953,0.998549
uniform,2,16,16,18,16,8,8,138.444152,121.298037,134.207233,118.730519,251.438065,251.825241,252.129778,259.742190,96.802936,96.951997,97.069243,96.939618,97.883298,4.530327,0.998103
uniform,2,32,8,9,8,8,8,153.548919,141.387784,152.833837,139.263523,287.919112,288.196078,288.492252,294.936703,97.620645,97.714552,97.814971,99.534296,98.497564,3.958592,0.998334
uniform,4,1,128,128,128,8,8,24.458224,24.498366,21.309814,21.184369,42.297108,42.354287,42.430446,48.956590,86.397170,86.513965,86.669531,87.127395,86.472582,25.351432,0.999662
uniform,4,2,64,72,64,8,8,41.973051,37.341869,38.413911,33.610764,71.246749,71.384265,71.470557,79.314920,89.827676,90.001055,90.109851,91.520414,90.008255,15.981823,0.999464
uniform,4,4,32,36,32,8,8,70.491911,63.371230,67.146346,59.318245,125.718146,125.934414,126.074251,133.863141,93.915431,94.076990,94.181453,95.253973,93.604377,9.059086,0.999045
uniform,4,8,16,18,16,8,8,105.993047,96.685273,103.401368,93.156555,194.761990,195.088110,195.281526,202.678320,96.094141,96.255046,96.350476,97.554860,96.350305,5.847874,0.998861
uniform,4,16,8,9,8,8,8,138.668434,122.815539,137.342042,121.279614,256.871003,257.208284,257.589251,261.483973,98.235850,98.364837,98.510532,99.043480,98.749406,4.435513,0.998032
uniform,4,32,4,4,4,8,8,155.618368,142.838310,155.037391,141.731781,282.363680,282.784880,283.271892,298.456678,94.607928,94.749054,94.912231,99.626665,99.225328,3.797027,0.997655
