pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,1,1,128,128,129,4,4,9.907836,9.987032,9.092751,9.051604,17.958799,18.019325,18.102490,19.894868,90.268502,90.572729,90.990749,91.773330,90.633574,14.955279,0.999184
uniform,1,2,128,140,128,4,4,16.370348,14.916105,15.756579,13.998604,29.253968,29.289973,29.319949,31.286453,93.503626,93.618708,93.714519,96.250725,93.848929,19.188708,0.999345
uniform,1,4,128,141,128,4,4,26.944857,24.518989,26.144607,23.488653,49.291092,49.334752,49.374131,51.463846,95.778097,95.862933,95.939451,97.030045,95.797803,22.869635,0.999456
uniform,1,8,64,70,64,4,4,39.442393,36.307249,38.817746,35.399152,73.999304,74.061091,74.125324,75.749642,97.689312,97.770880,97.855676,98.416307,97.498856,15.177652,0.999231
uniform,1,16,32,35,32,4,4,49.708943,45.134744,49.364401,44.516658,92.947243,93.117260,93.238863,94.843687,98.000453,98.179713,98.307928,99.306880,98.630576,12.071591,0.999043
uniform,1,32,16,17,16,4,4,54.731455,51.251145,54.560177,50.826340,104.562735,104.702272,104.885709,105.982599,98.660286,98.791946,98.965028,99.687058,99.171132,10.575666,0.998856
uniform,2,1,128,128,129,4,4,10.270680,10.318776,9.524175,9.419260,18.740815,18.757345,18.775663,20.589456,91.021419,91.101706,91.190673,92.731694,91.282726,28.733707,0.999561
uniform,2,2,128,142,128,4,4,16.903689,15.198103,16.306572,14.484520,30.521811,30.542174,30.563487,32.101792,95.078215,95.141646,95.208040,96.467534,95.304787,37.078634,0.999643
uniform,2,4,64,71,64,4,4,27.658884,24.857235,27.017426,24.170901,50.919096,50.958029,50.991659,52.516119,96.958985,97.033120,97.097158,97.680824,97.238897,22.223428,0.999444
uniform,2,8,32,35,32,4,4,40.169649,36.807558,39.734184,36.173930,75.625007,75.679431,75.719072,76.977207,98.243377,98.314078,98.365575,98.915934,98.278540,14.853091,0.999205
uniform,2,16,16,18,16,4,4,50.498495,45.666953,50.284716,45.337823,94.846799,94.905881,94.958207,96.165448,98.628771,98.690208,98.744621,99.576662,99.279282,12.020864,0.999207
uniform,2,32,8,9,8,4,4,55.336930,51.769069,55.243132,51.547818,104.213364,104.263042,104.307588,107.105999,97.299278,97.345660,97.387251,99.830495,99.572619,10.942043,0.999161
uniform,4,1,128,128,128,4,4,10.425546,10.447047,9.670679,9.599542,19.184943,19.194316,19.202379,20.872593,91.914519,91.959423,91.998051,92.759450,91.887614,55.940614,0.999749
uniform,4,2,64,71,64,4,4,17.164640,15.388073,16.629906,14.751431,31.087024,31.104729,31.122731,32.552713,95.497491,95.551881,95.607179,96.884678,95.862755,36.408035,0.999633
uniform,4,4,32,36,32,4,4,28.024520,25.129287,27.458540,24.531537,51.815882,51.839236,51.873029,53.153807,97.482917,97.526854,97.590430,97.980409,97.621301,22.007475,0.999487
uniform,4,8,16,18,16,4,4,40.639824,36.992109,40.286631,36.575016,75.995263,76.048753,76.088847,77.631933,97.891756,97.960658,98.012305,99.130920,98.872480,15.001570,0.999362
uniform,4,16,8,9,8,4,4,50.905765,45.993707,50.740958,45.792719,95.715703,95.769184,95.814225,96.899472,98.778354,98.833546,98.880029,99.676251,99.563011,11.912503,0.999208
uniform,4,32,4,4,4,4,4,55.655425,52.095065,55.574856,51.963404,103.666708,103.811035,103.972202,107.750491,96.209964,96.343909,96.493483,99.855236,99.747267,10.343234,0.998893
uniform,8,1,64,64,64,4,4,10.491701,10.544287,9.748086,9.699669,19.387210,19.394372,19.402537,21.035988,92.162111,92.196154,92.234968,92.912349,91.989801,55.363579,0.999744
