pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,1,1,128,128,130,4,4,9.890827,10.064027,9.111991,9.055609,17.929784,17.959836,17.989723,19.954854,89.851740,90.002344,90.152116,92.125672,89.979974,15.063200,0.999328
uniform,1,2,128,141,128,4,4,16.453993,14.983831,15.797990,14.034367,29.365723,29.478469,29.505383,31.437824,93.408891,93.767524,93.853132,96.013104,93.663411,19.137150,0.999483
uniform,1,4,128,141,128,4,4,27.109173,24.624360,26.280716,23.571219,49.453241,49.514219,49.559801,51.733533,95.592236,95.710105,95.798215,96.943998,95.723173,22.786743,0.999559
uniform,1,8,64,69,64,4,4,39.483141,36.408967,38.874542,35.511694,73.678043,73.748686,73.804419,75.892108,97.082614,97.175697,97.249135,98.458585,97.535572,15.128200,0.999331
uniform,1,16,32,35,32,4,4,49.795551,45.150168,49.453132,44.570114,92.988933,93.243427,93.381005,94.945719,97.939048,98.207089,98.351991,99.312352,98.715277,12.055257,0.999199
uniform,1,32,16,17,16,4,4,54.828578,51.262261,54.655365,50.884148,104.707975,104.855475,104.988458,106.090839,98.696528,98.835560,98.960908,99.684084,99.262394,10.560214,0.999087
uniform,2,1,128,128,129,4,4,10.291381,10.333827,9.445003,9.428788,18.708794,18.777495,18.809280,20.625208,90.708388,91.041482,91.195590,91.775855,91.241978,28.702873,0.999609
uniform,2,2,128,143,128,4,4,16.987865,15.252459,16.388513,14.519593,30.709959,30.731409,30.750014,32.240324,95.253259,95.319790,95.377498,96.471880,95.195099,36.986797,0.999693
uniform,2,4,64,71,64,4,4,27.761633,24.966244,27.111643,24.248000,51.070564,51.122407,51.162615,52.727877,96.856856,96.955178,97.031434,97.658674,97.123139,22.151971,0.999523
uniform,2,8,32,35,32,4,4,40.315309,36.825009,39.866605,36.290048,75.878574,75.927634,75.972629,77.140318,98.364352,98.427951,98.486279,98.887012,98.547289,14.804537,0.999304
uniform,2,16,16,18,16,4,4,50.625884,45.773354,50.389831,45.448483,95.062541,95.118347,95.160500,96.399237,98.613375,98.671265,98.714993,99.533732,99.290262,11.994013,0.999336
uniform,2,32,8,9,8,4,4,55.442812,51.863168,55.352163,51.641905,104.439085,104.478271,104.518999,107.305980,97.328299,97.364817,97.402772,99.836502,99.573371,10.919502,0.999269
uniform,4,1,128,128,129,4,4,10.435195,10.476403,9.681707,9.624119,19.159994,19.169174,19.176466,20.911598,91.623766,91.667668,91.702538,92.779357,91.864728,56.232789,0.999778
